player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
MS Dhoni,BAT,54.3,False,False,4,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BAT with form score 54.3.
Nasir Hossain,BOWL,46.6,False,False,5,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BOWL with form score 46.6.
HH Pandya,BOWL,43.9,False,False,6,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BOWL with form score 43.9.
R Ashwin,BOWL,43.2,False,False,7,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BOWL with form score 43.2.
RA Jadeja,BOWL,42.0,False,False,8,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BOWL with form score 42.0.
Mahmudullah,BAT,53.7,False,False,9,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BAT with form score 53.7.
S Dhawan,BAT,53.2,False,False,10,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BAT with form score 53.2.
Tamim Iqbal,BAT,52.5,False,False,11,966765,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-03-06,Selected as BAT with form score 52.5.
Mohammad Usman,BAT,60.9,True,False,1,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BAT with form score 60.9.
W Barresi,BAT,56.6,False,True,2,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BAT with form score 56.6.
PW Borren,BAT,54.7,False,False,3,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BAT with form score 54.7.
SJ Myburgh,BAT,53.3,False,False,4,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BAT with form score 53.3.
Ahmed Raza,AR,43.3,False,False,5,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as AR with form score 43.3.
Rohan Mustafa,BOWL,49.4,False,False,6,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BOWL with form score 49.4.
Mohammad Naveed,BOWL,47.4,False,False,7,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BOWL with form score 47.4.
Mudassar Bukhari,BOWL,47.1,False,False,8,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BOWL with form score 47.1.
MJG Rippon,BOWL,46.0,False,False,9,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BOWL with form score 46.0.
Shaiman Anwar,BAT,52.4,False,False,10,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BAT with form score 52.4.
MR Swart,BAT,51.1,False,False,11,967081,United Arab Emirates,Netherlands,ICC Academy,2016-02-03,Selected as BAT with form score 51.1.
UT Khawaja,BAT,57.5,True,False,1,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 57.5.
BKG Mendis,BAT,55.9,False,True,2,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 55.9.
TM Head,BAT,54.9,False,False,3,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 54.9.
DA Warner,BAT,54.8,False,False,4,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 54.8.
JP Faulkner,BOWL,45.9,False,False,5,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BOWL with form score 45.9.
A Zampa,BOWL,45.5,False,False,6,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BOWL with form score 45.5.
MA Starc,BOWL,44.9,False,False,7,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BOWL with form score 44.9.
