player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
BKG Mendis,BAT,55.8,False,False,3,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BAT with form score 55.8.
MS Wade,BAT,54.8,False,False,4,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BAT with form score 54.8.
TM Dilshan,AR,47.2,False,False,5,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as AR with form score 47.2.
DM de Silva,AR,46.0,False,False,6,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as AR with form score 46.0.
AD Mathews,BOWL,47.1,False,False,7,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BOWL with form score 47.1.
JW Hastings,BOWL,46.0,False,False,8,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BOWL with form score 46.0.
MA Aponso,BOWL,43.1,False,False,9,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BOWL with form score 43.1.
S Prasanna,BOWL,42.8,False,False,10,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BOWL with form score 42.8.
AJ Finch,BAT,53.9,False,False,11,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BAT with form score 53.9.
GJ Bailey,BAT,57.3,True,False,1,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BAT with form score 57.3.
LD Chandimal,BAT,56.3,False,True,2,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BAT with form score 56.3.
AJ Finch,BAT,55.9,False,False,3,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BAT with form score 55.9.
MS Wade,BAT,54.8,False,False,4,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BAT with form score 54.8.
SS Pathirana,AR,48.5,False,False,5,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as AR with form score 48.5.
DM de Silva,AR,45.8,False,False,6,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as AR with form score 45.8.
JW Hastings,BOWL,44.6,False,False,7,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BOWL with form score 44.6.
SM Boland,BOWL,42.6,False,False,8,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BOWL with form score 42.6.
MA Starc,BOWL,40.5,False,False,9,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BOWL with form score 40.5.
