player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
A Mishra,BOWL,35.0,False,False,10,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BOWL with form score 35.0.
Q de Kock,BAT,54.9,False,False,11,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BAT with form score 54.9.
V Kohli,BAT,59.0,True,False,1,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BAT with form score 59.0.
AB de Villiers,BAT,58.9,False,True,2,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BAT with form score 58.9.
KL Rahul,BAT,55.7,False,False,3,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BAT with form score 55.7.
BB McCullum,BAT,55.2,False,False,4,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BAT with form score 55.2.
Iqbal Abdulla,AR,38.8,False,False,5,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as AR with form score 38.8.
RA Jadeja,BOWL,40.6,False,False,6,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BOWL with form score 40.6.
DS Kulkarni,BOWL,38.0,False,False,7,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BOWL with form score 38.0.
SR Watson,BOWL,37.5,False,False,8,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BOWL with form score 37.5.
P Kumar,BOWL,37.3,False,False,9,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BOWL with form score 37.3.
ER Dwivedi,BAT,54.8,False,False,10,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BAT with form score 54.8.
CH Gayle,BAT,52.9,False,False,11,981013,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-24,Selected as BAT with form score 52.9.
DA Warner,BAT,57.5,True,False,1,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BAT with form score 57.5.
S Dhawan,BAT,55.4,False,True,2,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BAT with form score 55.4.
MK Pandey,BAT,55.3,False,False,3,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BAT with form score 55.3.
RV Uthappa,BAT,55.0,False,False,4,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BAT with form score 55.0.
MC Henriques,AR,40.4,False,False,5,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as AR with form score 40.4.
YK Pathan,BOWL,49.4,False,False,6,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BOWL with form score 49.4.
BCJ Cutting,BOWL,43.4,False,False,7,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BOWL with form score 43.4.
JO Holder,BOWL,39.8,False,False,8,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BOWL with form score 39.8.
Kuldeep Yadav,BOWL,39.4,False,False,9,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BOWL with form score 39.4.
G Gambhir,BAT,54.5,False,False,10,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BAT with form score 54.5.
SA Yadav,BAT,52.4,False,False,11,981015,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25,Selected as BAT with form score 52.4.
DA Warner,BAT,60.1,True,False,1,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BAT with form score 60.1.
BB McCullum,BAT,54.7,False,True,2,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BAT with form score 54.7.
S Dhawan,BAT,54.0,False,False,3,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BAT with form score 54.0.
KD Karthik,BAT,52.8,False,False,4,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BAT with form score 52.8.
Bipul Sharma,AR,42.8,False,False,5,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as AR with form score 42.8.
BCJ Cutting,BOWL,42.4,False,False,6,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BOWL with form score 42.4.
